@RELATION myo
@ATTRIBUTE time1 NUMERIC
@ATTRIBUTE emg1_1 NUMERIC
@ATTRIBUTE emg1_2 NUMERIC
@ATTRIBUTE emg1_3 NUMERIC
@ATTRIBUTE emg1_4 NUMERIC
@ATTRIBUTE emg1_5 NUMERIC
@ATTRIBUTE emg1_6 NUMERIC
@ATTRIBUTE emg1_7 NUMERIC
@ATTRIBUTE emg1_8 NUMERIC
@ATTRIBUTE time2 NUMERIC
@ATTRIBUTE emg2_1 NUMERIC
@ATTRIBUTE emg2_2 NUMERIC
@ATTRIBUTE emg2_3 NUMERIC
@ATTRIBUTE emg2_4 NUMERIC
@ATTRIBUTE emg2_5 NUMERIC
@ATTRIBUTE emg2_6 NUMERIC
@ATTRIBUTE emg2_7 NUMERIC
@ATTRIBUTE emg2_8 NUMERIC
@ATTRIBUTE time3 NUMERIC
@ATTRIBUTE emg3_1 NUMERIC
@ATTRIBUTE emg3_2 NUMERIC
@ATTRIBUTE emg3_3 NUMERIC
@ATTRIBUTE emg3_4 NUMERIC
@ATTRIBUTE emg3_5 NUMERIC
@ATTRIBUTE emg3_6 NUMERIC
@ATTRIBUTE emg3_7 NUMERIC
@ATTRIBUTE emg3_8 NUMERIC
@ATTRIBUTE time4 NUMERIC
@ATTRIBUTE emg4_1 NUMERIC
@ATTRIBUTE emg4_2 NUMERIC
@ATTRIBUTE emg4_3 NUMERIC
@ATTRIBUTE emg4_4 NUMERIC
@ATTRIBUTE emg4_5 NUMERIC
@ATTRIBUTE emg4_6 NUMERIC
@ATTRIBUTE emg4_7 NUMERIC
@ATTRIBUTE emg4_8 NUMERIC
@ATTRIBUTE time5 NUMERIC
@ATTRIBUTE emg5_1 NUMERIC
@ATTRIBUTE emg5_2 NUMERIC
@ATTRIBUTE emg5_3 NUMERIC
@ATTRIBUTE emg5_4 NUMERIC
@ATTRIBUTE emg5_5 NUMERIC
@ATTRIBUTE emg5_6 NUMERIC
@ATTRIBUTE emg5_7 NUMERIC
@ATTRIBUTE emg5_8 NUMERIC
@ATTRIBUTE time6 NUMERIC
@ATTRIBUTE emg6_1 NUMERIC
@ATTRIBUTE emg6_2 NUMERIC
@ATTRIBUTE emg6_3 NUMERIC
@ATTRIBUTE emg6_4 NUMERIC
@ATTRIBUTE emg6_5 NUMERIC
@ATTRIBUTE emg6_6 NUMERIC
@ATTRIBUTE emg6_7 NUMERIC
@ATTRIBUTE emg6_8 NUMERIC
@ATTRIBUTE time7 NUMERIC
@ATTRIBUTE emg7_1 NUMERIC
@ATTRIBUTE emg7_2 NUMERIC
@ATTRIBUTE emg7_3 NUMERIC
@ATTRIBUTE emg7_4 NUMERIC
@ATTRIBUTE emg7_5 NUMERIC
@ATTRIBUTE emg7_6 NUMERIC
@ATTRIBUTE emg7_7 NUMERIC
@ATTRIBUTE emg7_8 NUMERIC
@ATTRIBUTE time8 NUMERIC
@ATTRIBUTE emg8_1 NUMERIC
@ATTRIBUTE emg8_2 NUMERIC
@ATTRIBUTE emg8_3 NUMERIC
@ATTRIBUTE emg8_4 NUMERIC
@ATTRIBUTE emg8_5 NUMERIC
@ATTRIBUTE emg8_6 NUMERIC
@ATTRIBUTE emg8_7 NUMERIC
@ATTRIBUTE emg8_8 NUMERIC
@ATTRIBUTE time9 NUMERIC
@ATTRIBUTE emg9_1 NUMERIC
@ATTRIBUTE emg9_2 NUMERIC
@ATTRIBUTE emg9_3 NUMERIC
@ATTRIBUTE emg9_4 NUMERIC
@ATTRIBUTE emg9_5 NUMERIC
@ATTRIBUTE emg9_6 NUMERIC
@ATTRIBUTE emg9_7 NUMERIC
@ATTRIBUTE emg9_8 NUMERIC
@ATTRIBUTE time10 NUMERIC
@ATTRIBUTE emg10_1 NUMERIC
@ATTRIBUTE emg10_2 NUMERIC
@ATTRIBUTE emg10_3 NUMERIC
@ATTRIBUTE emg10_4 NUMERIC
@ATTRIBUTE emg10_5 NUMERIC
@ATTRIBUTE emg10_6 NUMERIC
@ATTRIBUTE emg10_7 NUMERIC
@ATTRIBUTE emg10_8 NUMERIC
@ATTRIBUTE time11 NUMERIC
@ATTRIBUTE emg11_1 NUMERIC
@ATTRIBUTE emg11_2 NUMERIC
@ATTRIBUTE emg11_3 NUMERIC
@ATTRIBUTE emg11_4 NUMERIC
@ATTRIBUTE emg11_5 NUMERIC
@ATTRIBUTE emg11_6 NUMERIC
@ATTRIBUTE emg11_7 NUMERIC
@ATTRIBUTE emg11_8 NUMERIC
@ATTRIBUTE time12 NUMERIC
@ATTRIBUTE emg12_1 NUMERIC
@ATTRIBUTE emg12_2 NUMERIC
@ATTRIBUTE emg12_3 NUMERIC
@ATTRIBUTE emg12_4 NUMERIC
@ATTRIBUTE emg12_5 NUMERIC
@ATTRIBUTE emg12_6 NUMERIC
@ATTRIBUTE emg12_7 NUMERIC
@ATTRIBUTE emg12_8 NUMERIC
@ATTRIBUTE time13 NUMERIC
@ATTRIBUTE emg13_1 NUMERIC
@ATTRIBUTE emg13_2 NUMERIC
@ATTRIBUTE emg13_3 NUMERIC
@ATTRIBUTE emg13_4 NUMERIC
@ATTRIBUTE emg13_5 NUMERIC
@ATTRIBUTE emg13_6 NUMERIC
@ATTRIBUTE emg13_7 NUMERIC
@ATTRIBUTE emg13_8 NUMERIC
@ATTRIBUTE time14 NUMERIC
@ATTRIBUTE emg14_1 NUMERIC
@ATTRIBUTE emg14_2 NUMERIC
@ATTRIBUTE emg14_3 NUMERIC
@ATTRIBUTE emg14_4 NUMERIC
@ATTRIBUTE emg14_5 NUMERIC
@ATTRIBUTE emg14_6 NUMERIC
@ATTRIBUTE emg14_7 NUMERIC
@ATTRIBUTE emg14_8 NUMERIC
@ATTRIBUTE time15 NUMERIC
@ATTRIBUTE emg15_1 NUMERIC
@ATTRIBUTE emg15_2 NUMERIC
@ATTRIBUTE emg15_3 NUMERIC
@ATTRIBUTE emg15_4 NUMERIC
@ATTRIBUTE emg15_5 NUMERIC
@ATTRIBUTE emg15_6 NUMERIC
@ATTRIBUTE emg15_7 NUMERIC
@ATTRIBUTE emg15_8 NUMERIC
@ATTRIBUTE time16 NUMERIC
@ATTRIBUTE emg16_1 NUMERIC
@ATTRIBUTE emg16_2 NUMERIC
@ATTRIBUTE emg16_3 NUMERIC
@ATTRIBUTE emg16_4 NUMERIC
@ATTRIBUTE emg16_5 NUMERIC
@ATTRIBUTE emg16_6 NUMERIC
@ATTRIBUTE emg16_7 NUMERIC
@ATTRIBUTE emg16_8 NUMERIC
@ATTRIBUTE time17 NUMERIC
@ATTRIBUTE emg17_1 NUMERIC
@ATTRIBUTE emg17_2 NUMERIC
@ATTRIBUTE emg17_3 NUMERIC
@ATTRIBUTE emg17_4 NUMERIC
@ATTRIBUTE emg17_5 NUMERIC
@ATTRIBUTE emg17_6 NUMERIC
@ATTRIBUTE emg17_7 NUMERIC
@ATTRIBUTE emg17_8 NUMERIC
@ATTRIBUTE time18 NUMERIC
@ATTRIBUTE emg18_1 NUMERIC
@ATTRIBUTE emg18_2 NUMERIC
@ATTRIBUTE emg18_3 NUMERIC
@ATTRIBUTE emg18_4 NUMERIC
@ATTRIBUTE emg18_5 NUMERIC
@ATTRIBUTE emg18_6 NUMERIC
@ATTRIBUTE emg18_7 NUMERIC
@ATTRIBUTE emg18_8 NUMERIC
@ATTRIBUTE class {normale,pugno}
@data
0.044446,1,1,1,-3,-11,-10,-1,-1,0.146798,0,-2,-2,8,22,46,4,1,0.248114,0,-1,2,1,-19,16,3,2,0.351365,-1,1,3,1,11,6,2,0,0.401631,-2,-8,-8,2,15,6,-4,-2,0.503611,0,2,1,-4,-14,-15,-2,0,0.605444,-1,-6,-6,-4,-10,-14,-2,0,0.707674,0,-2,3,7,6,-7,-1,-2,0.810105,0,0,-2,14,-4,-40,3,1,0.911178,-2,4,7,0,-7,6,-2,-2,1.013471,1,2,3,1,-2,-11,0,0,1.116429,0,-1,-1,-2,-5,-21,-1,-1,1.217779,1,1,0,6,23,-32,0,1,1.321285,1,1,1,4,3,7,3,1,1.422470,0,-3,-1,0,-1,2,-5,-1,1.524576,-1,-4,-3,-2,-14,5,-3,-3,1.625421,-1,-1,0,1,0,-3,1,-1,1.725847,2,4,-3,0,9,-23,10,1,normale
0.018001,-1,3,-3,-6,-30,5,-1,-1,0.119377,0,0,-1,3,10,2,0,-2,0.221938,0,4,3,-1,10,-10,-1,-2,0.323444,-1,0,3,4,44,24,2,1,0.425543,-1,0,-1,-1,-15,-2,0,0,0.528644,1,-1,-2,1,2,-4,-2,-1,0.629667,0,-1,0,-3,-15,5,1,1,0.731142,-1,3,1,1,2,-23,-4,0,0.832051,-1,-4,2,2,-11,6,1,2,0.936337,-1,-2,-2,-3,-5,-7,1,-1,1.037503,0,-1,1,3,-26,-3,0,0,1.140456,-3,-5,-7,-6,-15,0,0,-1,1.241572,-2,1,-3,-8,6,-6,-2,-3,1.343530,-2,1,-1,1,2,1,1,-1,1.445316,-1,-8,-3,-12,-4,-5,-2,-2,1.546734,-1,-3,0,2,17,2,-1,-1,1.649614,-1,1,0,1,9,5,0,-1,1.700095,-2,-3,-1,-1,12,-4,2,-3,normale
0.041146,0,-2,-3,-2,14,3,-1,-3,0.141823,0,-1,2,0,26,13,2,0,0.243102,-1,-3,-1,-6,-6,2,2,1,0.344999,0,-5,-2,-6,-2,11,7,0,0.446939,-1,-4,-2,-2,3,-6,-3,0,0.548015,-2,-5,2,4,14,7,-1,0,0.600233,-3,0,-3,0,12,12,1,-1,0.700726,-2,2,-2,1,-23,-9,-2,-2,0.801400,1,2,-1,-1,25,2,-2,-2,0.901803,-1,0,-3,0,-11,-3,-1,0,1.002888,-1,-1,-2,1,5,-1,-3,0,1.104045,1,3,-2,-6,-4,-18,-1,0,1.205098,0,-1,2,3,-3,-3,1,-1,1.308179,0,2,-1,-6,-10,12,-2,0,1.410014,0,-6,-3,-10,-5,2,-1,0,1.512186,2,4,2,0,13,2,0,2,1.613142,0,-7,-6,-2,-8,-6,0,-1,1.715125,1,0,0,1,32,7,3,0,normale
0.029168,4,1,-2,-4,-6,7,3,1,0.131421,0,-7,-3,1,-15,5,0,-2,0.233515,-1,1,4,2,22,8,0,-2,0.336283,0,-2,0,0,8,3,-1,1,0.437373,1,-6,-2,0,-4,-1,0,-1,0.540017,0,1,1,4,-5,-5,1,0,0.642753,-1,-1,-3,1,-1,-10,-5,0,0.744244,-1,0,1,3,4,-9,0,-1,0.847164,-1,0,-3,-4,-9,3,-3,-3,0.947489,0,1,0,-1,2,-4,2,0,1.049834,1,0,-2,5,-14,-3,2,2,1.100871,0,5,-2,2,-16,4,2,0,1.202301,-2,-1,1,-2,1,-1,-3,-1,1.304325,0,-2,0,-1,1,-4,-1,-1,1.405809,-3,-2,1,-5,-6,-12,-4,-2,1.507229,0,4,-1,-1,0,18,-1,-1,1.608178,-2,-2,-1,2,3,-5,-1,-3,1.709805,-1,-1,-2,-1,1,0,1,1,normale
0.013463,1,-1,0,0,34,16,0,1,0.115852,-2,-4,-3,0,-4,0,0,-2,0.218305,2,6,6,10,27,16,5,3,0.319891,-2,-2,0,-3,-8,1,1,-1,0.423069,-1,-2,2,2,-8,0,-4,0,0.524035,1,1,0,-3,-1,-4,1,1,0.624957,-2,-7,-6,-6,-4,-4,-2,0,0.726235,-3,2,2,-4,-4,-10,-2,-3,0.829007,-1,-6,-5,-3,7,11,0,-2,0.930322,-2,-2,0,-1,6,22,2,0,1.031370,-1,-1,0,-1,4,-1,-3,1,1.135182,-1,1,-1,0,8,6,-3,0,1.237633,-1,1,-3,-5,10,-3,-2,2,1.339615,-1,1,0,-2,-30,-4,-2,-2,1.443118,-2,-6,-4,1,8,-1,-3,-3,1.543846,-1,1,0,-1,6,4,1,0,1.647411,-1,0,0,3,4,-8,-2,-2,1.748894,2,7,2,-1,-19,4,0,1,normale
0.032907,-1,-1,-2,-9,4,-13,2,0,0.134120,-2,-6,-6,-3,-9,10,-7,-3,0.235043,1,6,2,1,-8,-10,-4,0,0.336686,0,-3,-1,3,-4,-25,-3,0,0.438270,0,8,1,0,0,2,-1,0,0.539134,0,3,2,-2,22,18,2,1,0.640821,3,1,2,0,-3,17,-3,0,0.742726,-1,-2,1,0,-3,-48,1,1,0.843285,0,-2,-2,0,-17,0,-1,-1,0.944674,-2,-1,3,-6,-18,5,-1,0,1.045520,1,0,1,1,6,-11,1,-2,1.147006,-2,-7,-2,0,-31,10,-1,-3,1.248830,-3,2,-1,-4,19,6,-3,-2,1.352563,-1,2,-6,-3,-10,-5,-2,-1,1.404275,2,14,2,3,12,2,0,-2,1.504515,0,7,1,-3,7,41,6,0,1.606507,0,-1,-2,-1,4,-10,-2,2,1.707372,0,0,6,5,-19,-5,-3,-1,normale
0.006277,-1,-10,-5,-4,8,17,-1,-1,0.108117,-1,-6,-4,-3,-2,-3,1,0,0.212475,0,0,-1,-1,5,5,3,-1,0.314226,-1,-1,-1,3,14,10,5,0,0.415372,-2,-6,0,1,-18,-5,0,0,0.518403,2,3,1,8,41,16,1,0,0.621191,-1,0,-1,-7,-3,2,-3,-2,0.722043,-1,-1,-2,-2,-24,-14,-2,-1,0.823866,0,0,1,3,13,3,1,-1,0.925226,-3,7,-4,-4,-1,9,-6,-2,1.026388,-1,-1,-2,-2,31,11,0,-1,1.127616,-1,0,-4,-5,-11,21,2,-2,1.229831,-7,-9,1,-4,-5,-7,-4,-1,1.332653,-3,0,-1,1,5,3,1,-1,1.436417,1,-1,-3,-2,27,-15,-2,-1,1.539170,-3,-10,-1,-3,2,-14,-2,-1,1.640832,-2,-1,-1,11,-16,5,2,-1,1.741964,0,1,1,0,-24,-2,1,-1,normale
0.019582,-3,-1,1,-3,-5,-4,-4,-3,0.121654,1,1,-1,0,12,-4,1,1,0.224051,0,2,3,4,7,-7,-2,-1,0.325489,1,1,2,-14,-17,0,26,14,0.426791,105,78,54,50,67,96,28,113,0.527484,127,7,-10,57,43,-20,53,-62,0.629138,-47,-22,-2,-33,-36,-10,-55,65,0.730432,-26,1,-11,-5,32,25,-38,-20,0.831550,-71,-33,-31,-37,-60,19,-41,-50,0.932211,-81,0,-10,7,-6,54,127,-88,1.036010,-50,-8,1,-22,-11,-14,84,-37,1.137693,7,21,13,65,72,30,104,127,1.239126,-32,-13,-11,-13,18,-5,-126,-67,1.341276,41,-6,-26,75,50,68,31,11,1.441845,16,-20,-8,-46,-28,-52,60,8,1.544138,72,21,10,5,18,18,-76,27,1.644600,51,11,13,1,-7,-25,-13,26,1.746227,-6,0,2,-25,-45,2,-8,25,pugno
0.050462,-3,-3,-4,-11,8,-14,-6,-3,0.100756,-5,-4,-2,-3,3,-23,5,3,0.202010,-41,-18,-10,-2,14,-2,6,2,0.304018,-23,-11,-16,8,-17,-48,85,-36,0.407037,3,-16,6,-56,25,29,3,-3,0.507622,-70,12,8,-11,-17,95,121,-9,0.611545,36,-18,-1,-6,16,-3,-108,-17,0.712392,-1,1,-13,42,40,-21,7,-31,0.815754,-32,14,9,11,18,45,12,80,0.917772,-68,-1,2,5,20,3,-13,-14,1.020727,-76,-2,6,59,53,1,99,-3,1.121140,-18,-14,-9,-49,-33,-5,-43,-29,1.221647,-8,0,7,-37,-30,-9,45,45,1.322415,-67,-20,4,-24,-37,-18,-81,-102,1.423843,-43,-31,-14,-55,-8,-1,-9,-36,1.525121,6,13,5,2,20,27,-11,4,1.625707,-13,-2,-2,-55,-57,-41,-16,-10,1.727295,46,21,35,38,42,-44,58,73,pugno
0.040154,0,-9,-8,-2,13,20,1,-3,0.141472,1,9,5,0,7,32,7,2,0.243267,0,-2,1,-1,-22,10,0,-2,0.344804,4,4,-5,9,8,5,4,3,0.448425,6,-10,-4,0,-21,-3,11,8,0.550962,81,58,37,-28,-1,-12,-73,50,0.601076,32,-29,-16,67,-54,-35,110,12,0.703690,20,-8,-30,98,31,3,-104,48,0.806045,42,-37,-34,-69,-54,-61,-86,-128,0.906934,-35,-1,-1,9,11,-5,-49,10,1.010760,-36,6,-3,9,-15,-16,101,15,1.112380,-23,-11,-2,-25,-18,-70,-128,-69,1.213179,88,57,47,36,40,42,51,98,1.316410,52,6,4,5,1,-16,-28,26,1.417878,35,-3,-13,-31,-38,-53,-122,-43,1.520089,4,0,-8,0,4,10,-101,-34,1.624464,-27,-6,-10,-26,-22,31,7,34,1.727373,2,11,12,75,69,1,-68,-9,pugno
